state_id,expected_runs,valid_runs,missing_json,missing_npz,malformed,unexpected_json,unexpected_npz,summary_valid,state_complete
libero_spatial_task00_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task00_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task00_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task01_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task01_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task01_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task02_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task02_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task02_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task03_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task03_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task03_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task04_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task04_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task04_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task05_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task05_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task05_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task06_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task06_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task06_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task07_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task07_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task07_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task08_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task08_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task08_state006_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task09_state004_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task09_state005_wait30,48,48,[],[],[],[],[],true,true
libero_spatial_task09_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task00_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task00_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task00_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task01_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task01_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task01_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task02_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task02_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task02_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task03_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task03_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task03_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task04_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task04_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task04_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task05_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task05_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task05_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task06_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task06_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task06_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task07_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task07_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task07_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task08_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task08_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task08_state006_wait30,48,48,[],[],[],[],[],true,true
libero_object_task09_state004_wait30,48,48,[],[],[],[],[],true,true
libero_object_task09_state005_wait30,48,48,[],[],[],[],[],true,true
libero_object_task09_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task00_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task00_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task00_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task01_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task01_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task01_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task02_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task02_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task02_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task03_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task03_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task03_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task04_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task04_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task04_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task05_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task05_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task05_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task06_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task06_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task06_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task07_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task07_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task07_state006_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task08_state004_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task08_state005_wait30,48,48,[],[],[],[],[],true,true
libero_goal_task08_state006_wait30,48,48,[],[],[],[],[],true,true
