state_id,expected_runs,complete_runs,missing_json_count,missing_npz_count,malformed_count,unexpected_json_count,unexpected_npz_count,summary_valid,summary_problem,state_complete,missing_json_ids,missing_npz_ids,malformed_ids,unexpected_json_ids,unexpected_npz_ids
libero_spatial_task00_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task00_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task00_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task01_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task01_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task01_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task02_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task02_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task02_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task03_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task03_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task03_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task04_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task04_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task04_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task05_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task05_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task05_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task06_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task06_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task06_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task07_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task07_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task07_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task08_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task08_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task08_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task09_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task09_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_spatial_task09_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task00_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task00_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task00_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task01_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task01_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task01_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task02_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task02_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task02_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task03_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task03_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task03_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task04_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task04_state005_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task04_state006_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
libero_object_task05_state004_wait30,72,72,0,0,0,0,0,true,,true,[],[],[],[],[]
